""
"time"," id"," long"," lat"," angle"," speed"," RSSI"," Throughput"
"0.00","1","23.774532","37.967331","229.707852","0.000000","93.92774067556232","46.96387033778117"
"0.00","2","23.758638","37.971738","38.291786","0.000000","58.32484300543001","29.162421502715006"
"1.00","1","23.774522","37.967326","230.554332","1.000000","53.39145334230432","26.695726671152162"
"1.00","2","23.758645","37.971745","38.291786","1.000000","77.07823652558433","38.539118262792165"
"2.00","1","23.774503","37.967316","233.076683","2.000000","70.11783248979715","35.058916244898576"
"2.00","2","23.758660","37.971759","38.291786","2.000000","69.96771936381856","34.98385968190928"
"3.00","1","23.774474","37.967302","236.010480","3.000000","40.852045455286365","20.426022727643183"
"3.00","2","23.758682","37.971780","38.291786","3.000000","51.81323853213648","25.90661926606824"
"4.00","1","23.774434","37.967285","239.881328","4.000000","59.055336432615746","29.527668216307873"
"4.00","2","23.758712","37.971807","39.779928","4.000000","55.857640166614644","27.928820083307322"
"5.00","1","23.774381","37.967269","247.327997","5.000000","59.4995909966476","29.749795498323795"
"5.00","2","23.758758","37.971833","52.952756","5.000000","65.04806319162184","32.52403159581092"
"6.00","1","23.774317","37.967254","251.966352","5.893475","47.12821455178551","23.564107275892756"
"6.00","2","23.758809","37.971855","59.911289","5.216981","45.45384823993568","22.72692411996784"
"7.00","1","23.774251","37.967243","256.747542","5.893475","59.43840241331158","29.71920120665579"
"7.00","2","23.758867","37.971866","74.824350","5.216981","53.4561414274266","26.7280707137133"
"8.00","1","23.774185","37.967235","259.416012","5.893475","51.31105616136213","25.655528080681066"
"8.00","2","23.758926","37.971868","85.786237","5.216981","59.7820926559167","29.891046327958346"
"9.00","1","23.774119","37.967228","260.844296","5.893475","60.843518881568656","30.421759440784328"
"9.00","2","23.758985","37.971860","98.560890","5.216981","46.60504156808607","23.302520784043036"
"10.00","1","23.774052","37.967221","260.844296","5.893475","76.04530646779739","38.022653233898694"
"10.00","2","23.759043","37.971850","99.832226","5.216981","61.658734008791654","30.829367004395827"
"11.00","1","23.773986","37.967214","260.844296","5.893475","68.20211942724241","34.101059713621204"
"11.00","2","23.759099","37.971835","106.824175","5.216981","82.61658602027796","41.30829301013899"
"12.00","1","23.773919","37.967207","260.844296","5.893475","51.56576788574934","25.78288394287467"
"12.00","2","23.759155","37.971820","106.824175","5.216981","62.96608814816902","31.48304407408451"
"13.00","1","23.773853","37.967200","260.844296","5.893475","39.98380401596846","19.99190200798423"
"13.00","2","23.759212","37.971805","106.824175","5.216981","59.52784854594208","29.76392427297104"
"14.00","1","23.773786","37.967193","260.844296","5.893475","75.99296711779499","37.996483558897495"
"14.00","2","23.759268","37.971791","106.824175","5.216981","64.58185771129511","32.29092885564756"
"15.00","1","23.773720","37.967187","260.844296","5.893475","49.06415910892483","24.532079554462413"
"15.00","2","23.759324","37.971776","106.824175","5.216981","54.362640206263684","27.181320103131842"
"16.00","1","23.773654","37.967179","259.560752","5.893475","66.03439375384716","33.01719687692358"
"16.00","2","23.759380","37.971761","106.824175","5.216981","47.52655682272028","23.763278411360137"
"17.00","1","23.773587","37.967170","259.114473","5.893475","62.75993894663427","31.379969473317136"
"17.00","2","23.759437","37.971746","106.843541","5.216981","44.53446857183117","22.267234285915585"
"18.00","1","23.773521","37.967162","259.114473","5.893475","46.02275894617614","23.01137947308807"
"18.00","2","23.759493","37.971731","107.072269","5.216981","46.547094773673194","23.273547386836597"
